Key,Fcm Notification Type,Fcm Sub Category,Trip Category,Should Trigger,Body,Title,Dutch_Body,Dutch_Title,Body (German),Title (German),Body (French),Title (French),Finnish Body (Suomi),Finnish Title (Suomi),Swedish Body (Svenska),Swedish Title (Svenska)
BOOKING_REALLOCATED,REALLOCATE_PRODUCT,,Delivery_OneWayOnDemandDynamicOffer,,The driver had to cancel the parcel delivery for {#bookingStartTime#}. Please wait until we allocate another driver.,Reallocating your parcel delivery!,De chauffeur heeft de bezorging geannuleerd. We zoeken een nieuwe chauffeur.,Nieuwe bezorger wordt gezocht!,Der Fahrer hat die Zustellung storniert. Wir suchen einen neuen Fahrer.,Neue Zustellung wird gesucht!,Le chauffeur a annulé la livraison. Nous cherchons un nouveau livreur.,Réattribution de votre livraison !,"Kuljettaja joutui perumaan pakettikuljetuksen ajalle {#bookingStartTime#}. Odota, etsimme uutta kuljettajaa.",Etsitään uutta kuljettajaa!,Föraren var tvungen att avboka paketleveransen för {#bookingStartTime#}. Vänta medan vi hittar en ny förare.,Omfördelar din paketleverans!
EST_OR_QUOTE_REALLOCATED,REALLOCATE_PRODUCT,ByUser,Delivery_OneWayOnDemandDynamicOffer,,You have cancelled your parcel delivery for {#bookingStartTime#}. Please wait while we allocate you another driver.,Searching for a New Driver!,Je hebt je bezorging geannuleerd. We zoeken een nieuwe chauffeur.,Nieuwe chauffeur gezocht!,Du hast deine Zustellung storniert. Wir suchen einen neuen Fahrer.,Suchen neuen Fahrer!,Vous avez annulé votre livraison. Nous cherchons un nouveau chauffeur.,Recherche d'un nouveau chauffeur !,"Olet perunut pakettikuljetuksen ajalle {#bookingStartTime#}. Odota, etsimme uutta kuljettajaa.",Etsitään uutta kuljettajaa!,Du har avbokat din paketleverans för {#bookingStartTime#}. Vänta medan vi hittar en ny förare.,Söker efter en ny förare!
EST_OR_QUOTE_REALLOCATED,REALLOCATE_PRODUCT,ByMerchant,Delivery_OneWayOnDemandDynamicOffer,,"The parcel delivery for {#bookingStartTime#}, is cancelled. Please wait while we allocate you another driver.",Searching for a New Driver!,De pakketbezorging voor {#bookingStartTime#} is geannuleerd. We zoeken een nieuwe chauffeur.,Nieuwe chauffeur gezocht!,Die Paketzustellung für {#bookingStartTime#} ist storniert. Wir suchen einen neuen Fahrer.,Suchen neuen Fahrer!,La livraison pour {#bookingStartTime#} est annulée. Nous cherchons un nouveau chauffeur.,Recherche d'un nouveau chauffeur !,"Pakettikuljetus ajalle {#bookingStartTime#} on peruttu. Odota, etsimme uutta kuljettajaa.",Etsitään uutta kuljettajaa!,Paketleveransen för {#bookingStartTime#} har avbokats. Vänta medan vi hittar en ny förare.,Söker efter en ny förare!
EST_OR_QUOTE_REALLOCATED,REALLOCATE_PRODUCT,ByDriver,Delivery_OneWayOnDemandDynamicOffer,,The driver had cancelled the parcel delivery for {#bookingStartTime#}. Please wait while we allocate you another driver.,Searching for a New Driver!,De chauffeur heeft de bezorging geannuleerd. We zoeken een nieuwe chauffeur.,Nieuwe chauffeur gezocht!,Der Fahrer hat die Zustellung storniert. Wir suchen einen neuen Fahrer.,Suchen neuen Fahrer!,Le chauffeur a annulé la livraison. Nous cherchons un nouveau chauffeur.,Recherche d'un nouveau chauffeur !,"Kuljettaja on perunut pakettikuljetuksen ajalle {#bookingStartTime#}. Odota, etsimme uutta kuljettajaa.",Etsitään uutta kuljettajaa!,Föraren har avbokat paketleveransen för {#bookingStartTime#}. Vänta medan vi hittar en ny förare.,Söker efter en ny förare!
EST_OR_QUOTE_REALLOCATED,REALLOCATE_PRODUCT,ByAllocator,Delivery_OneWayOnDemandDynamicOffer,,"The parcel delivery for {#bookingStartTime#}, is cancelled. Please wait while we allocate you another driver.",Searching for a New Driver!,De pakketbezorging voor {#bookingStartTime#} is geannuleerd. We zoeken een nieuwe chauffeur.,Nieuwe chauffeur gezocht!,Die Paketzustellung für {#bookingStartTime#} ist storniert. Wir suchen einen neuen Fahrer.,Suchen neuen Fahrer!,La livraison pour {#bookingStartTime#} est annulée. Nous cherchons un nouveau chauffeur.,Recherche d'un nouveau chauffeur !,"Pakettikuljetus ajalle {#bookingStartTime#} on peruttu. Odota, etsimme uutta kuljettajaa.",Etsitään uutta kuljettajaa!,Paketleveransen för {#bookingStartTime#} har avbokats. Vänta medan vi hittar en ny förare.,Söker efter en ny förare!
EST_OR_QUOTE_REALLOCATED,REALLOCATE_PRODUCT,ByApplication,Delivery_OneWayOnDemandDynamicOffer,,Sorry your parcel delivery for {#bookingStartTime#} was cancelled. Please wait while we allocate you another driver.,Searching for a New Driver!,"Sorry, je bezorging is geannuleerd. We zoeken een nieuwe chauffeur.",Nieuwe chauffeur gezocht!,"Entschuldigung, deine Zustellung wurde storniert. Wir suchen einen neuen Fahrer.",Suchen neuen Fahrer!,"Désolé, votre livraison est annulée. Nous cherchons un nouveau chauffeur.",Recherche d'un nouveau chauffeur !,"Pahoittelut, pakettikuljetuksesi ajalle {#bookingStartTime#} on peruttu. Odota, etsimme uutta kuljettajaa.",Etsitään uutta kuljettajaa!,Tyvärr avbokades din paketleverans för {#bookingStartTime#}. Vänta medan vi hittar en ny förare.,Söker efter en ny förare!
QUOTE_RECEIVED,QUOTE_RECEIVED,,Delivery_OneWayOnDemandDynamicOffer,,You've received a new quote for delivering your parcel: {#quoteFareEstimate#},Delivery quote received!,Nieuwe offerte voor je pakket: {#quoteFareEstimate#},Offerte bezorging!,Neues Angebot für dein Paket: {#quoteFareEstimate#},Lieferangebot erhalten!,Nouveau devis pour votre colis : {#quoteFareEstimate#},Devis de livraison reçu !,Sait uuden hintatarjouksen pakettikuljetukselle: {#quoteFareEstimate#},Kuljetustarjous saatu!,Du har fått en ny prisuppgift för paketleverans: {#quoteFareEstimate#},Leveranspris mottaget!
DRIVER_ON_THE_WAY,DRIVER_ON_THE_WAY,,Delivery_OneWayOnDemandDynamicOffer,,Driver is heading to the pickup location for your parcel.,Driver On The Way!,Chauffeur is onderweg naar de ophaallocatie van je pakket.,Chauffeur Onderweg!,Fahrer ist auf dem Weg zum Abholort deines Pakets.,Fahrer unterwegs!,Le chauffeur se dirige vers le lieu de collecte de votre colis.,Chauffeur en route !,Kuljettaja on matkalla noutamaan pakettia.,Kuljettaja on matkalla!,Föraren är på väg till upphämtningsplatsen för ditt paket.,Föraren är på väg!
DRIVER_HAS_REACHED,DRIVER_HAS_REACHED,,Delivery_OneWayOnDemandDynamicOffer,,Use OTP {#otp#} to verify the pickup with Vehicle No. {#vehicleNumber#},Driver at pickup location!,Gebruik OTP {#otp#} voor verificatie bij Voertuig Nr. {#vehicleNumber#}.,Chauffeur op ophaallocatie!,Nutze OTP {#otp#} zur Bestätigung bei Fahrzeug-Nr. {#vehicleNumber#}.,Fahrer am Abholort!,Utilisez l'OTP {#otp#} pour vérifier la collecte avec le Véhicule n° {#vehicleNumber#}.,Chauffeur au lieu de collecte !,Vahvista nouto ajoneuvolle {#vehicleNumber#} koodilla {#otp#},Kuljettaja noutopaikalla!,Använd kod {#otp#} för att verifiera upphämtning med fordon {#vehicleNumber#},Föraren vid upphämtning!
DRIVER_HAS_REACHED_DESTINATION,DRIVER_HAS_REACHED_DESTINATION,,Delivery_OneWayOnDemandDynamicOffer,,Driver has reached the parcel drop location,Driver reached destination!,Chauffeur heeft de afleverlocatie bereikt.,Chauffeur op bestemming!,Fahrer hat den Abgabeort erreicht.,Fahrer am Zielort!,Le chauffeur a atteint le lieu de livraison.,Chauffeur à destination !,Kuljettaja on saapunut paketin jättöpaikkaan.,Kuljettaja määränpäässä!,Föraren har nått paketets avlämningsplats.,Föraren framme vid målet!
DRIVER_REACHING,DRIVER_REACHING,,Delivery_OneWayOnDemandDynamicOffer,,Your driver is almost at the pickup location. Please be ready.,Driver Arriving Now!,Je chauffeur is bijna op de ophaallocatie. Wees er klaar voor.,Chauffeur Komt Nu Aan!,Dein Fahrer ist fast am Abholort. Bitte sei bereit.,Fahrer kommt jetzt an!,Votre chauffeur est presque au lieu de collecte. Soyez prêt.,Chauffeur Arrive !,Kuljettaja on melkein noutopaikalla. Olethan valmiina.,Kuljettaja saapuu!,Din förare är snart vid upphämtningsplatsen. Var redo.,Föraren anländer nu!
SAFETY_ALERT_DEVIATION,SAFETY_ALERT_DEVIATION,,Delivery_OneWayOnDemandDynamicOffer,,Your parcel's delivery route has changed unexpectedly. Check the app for details.,Parcel delivery safety alert!,De route van je pakket is onverwacht gewijzigd. Check de app.,Veiligheidsalert pakket!,Die Route deines Pakets hat sich geändert. Details in der App.,Sicherheitsalarm Zustellung!,L'itinéraire de votre colis a changé. Voir l'app.,Alerte sécurité livraison !,Pakettikuljetuksen reitti on muuttunut odottamattomasti. Tarkista tiedot sovelluksesta.,Paketin turvallisuusilmoitus!,Paketets leveransrutt har ändrats oväntat. Se appen för detaljer.,Säkerhetsvarning för paket!
DRIVER_BIRTHDAY,DRIVER_BIRTHDAY,,Delivery_OneWayOnDemandDynamicOffer,,"Today is your driver {#driverName#}'s birthday, wish them well when they deliver your parcel!",Driver's Birthday!,"Je chauffeur {#driverName#} is vandaag jarig, wens ze een fijne dag bij de bezorging!",Verjaardag Chauffeur!,"Dein Fahrer {#driverName#} hat heute Geburtstag, wünsche ihm alles Gute bei der Zustellung!",Geburtstag des Fahrers!,"C'est l'anniversaire de votre livreur {#driverName#}, souhaitez-le-lui à la livraison !",Anniversaire du Chauffeur !,Tänään on kuljettajasi {#driverName#} syntymäpäivä. Onnittelut ilahduttaisivat häntä!,Kuljettajan syntymäpäivä!,Idag fyller din förare {#driverName#} år. Gratta dem gärna när de lämnar paketet!,Förarens födelsedag!
FOLLOW_RIDE,FOLLOW_RIDE,,Delivery_OneWayOnDemandDynamicOffer,,{#name#} wants you to follow their parcel delivery,Follow Parcel Delivery,{#name#} wil dat je hun pakketbezorging volgt,Volg Pakketbezorging,"{#name#} möchte, dass du die Paketzustellung verfolgst",Paketzustellung verfolgen,{#name#} souhaite que vous suiviez sa livraison de colis,Suivre la livraison,{#name#} haluaa sinun seuraavan pakettikuljetustaan,Seuraa pakettikuljetusta,{#name#} vill att du följer deras paketleverans,Följ paketleverans
PARCEL_IMAGE_UPLOADED,FILE_UPLOADED,,Delivery_OneWayOnDemandDynamicOffer,,Your parcel image is uploaded by driver. Please open app to see it.,Parcel image uploaded,Je pakketfoto is geüpload door de chauffeur. Open de app om te zien.,Pakketfoto geüpload,"Dein Paketbild wurde vom Fahrer hochgeladen. Öffne die App, um es zu sehen.",Paketbild hochgeladen,La photo de votre colis a été chargée. Ouvrez l'app pour la voir.,Photo du colis chargée,Kuljettaja on ladannut kuvan paketista. Avaa sovellus nähdäksesi sen.,Paketin kuva ladattu,Föraren har laddat upp en bild på paketet. Öppna appen för att se den.,Bild på paket uppladdad
RIDE_START_REMINDER,SCHEDULED_RIDE_NOTIFICATION,,,,Ride starts at {#rideStartTime#}. Details will be shared shortly.,{#isRentalOrIntercity#} Booking Reminder.,Rit start om {#rideStartTime#}. Details volgen spoedig.,{#isRentalOrIntercity#} Herinnering,Fahrt beginnt um {#rideStartTime#}. Details folgen in Kürze.,{#isRentalOrIntercity#} Erinnerung,Trajet à {#rideStartTime#}. Détails à venir.,Rappel {#isRentalOrIntercity#},Kyyti alkaa klo {#rideStartTime#}. Lisätiedot toimitetaan pian.,{#isRentalOrIntercity#} Varausmuistutus,Resan startar kl. {#rideStartTime#}. Detaljer kommer strax.,{#isRentalOrIntercity#} Bokningspåminnelse
RIDE_START_END_OTP,SCHEDULED_RIDE_NOTIFICATION,,,,"Dear User, Your ride start OTP is {#rideStartOtp#}. The driver will reach 15 minutes prior to the scheduled start time.",Ride Start OTP,"Beste gebruiker, uw start-OTP is {#rideStartOtp#}. De chauffeur is er 15 min. van tevoren.",Start-OTP Rit,"Sehr geehrter Nutzer, Ihr Start-OTP lautet {#rideStartOtp#}. Der Fahrer ist 15 Min. vorher da.",Fahrt-Start-OTP,"Cher utilisateur, votre OTP de départ est {#rideStartOtp#}. Le chauffeur arrivera 15 min avant.",OTP de Départ,"Hyvä asiakas, matkan aloituskoodisi on {#rideStartOtp#}. Kuljettaja saapuu 15 min ennen aloitusaikaa.",Matkan aloituskoodi,"Kära kund, din startkod är {#rideStartOtp#}. Föraren anländer 15 minuter före starttiden.",Startkod för resa
SAFETY_ALERT_RIDE_STOPPAGE,SAFETY_ALERT_RIDE_STOPPAGE,,,,We noticed your driver has not moved for a while. Are you feeling safe on your trip?,Everything okay?,We zien dat uw chauffeur stilstaat. Voelt u zich veilig tijdens de rit?,Alles in orde?,"Wir sehen, dass Ihr Fahrer eine Weile nicht gefahren ist. Fühlen Sie sich sicher?",Alles okay?,Nous voyons que votre chauffeur ne bouge plus. Vous sentez-vous en sécurité ?,Tout va bien ?,"Huomasimme, ettei kuljettaja ole liikkunut hetkeen. Oletko turvassa?",Onko kaikki hyvin?,Vi märkte att din resa tar en annan rutt. Känner du dig trygg?,Är allt okej?
REFERRAL_REWARD_ADD_VPA,PAYOUT_REWARD,,,,Your friend's first ride is complete! Add UPI ID and earn referral reward.,💸 Ka-ching! You Just Earned a Reward,De eerste rit van je vriend is voltooid! Voeg UPI ID toe en verdien je beloning.,💸 Tjing-tjing! Beloning verdiend,Die erste Fahrt deines Freundes ist abgeschlossen! Füge eine UPI-ID hinzu und erhalte deine Prämie.,💸 Kaching! Prämie erhalten,Le 1er trajet de votre ami est terminé ! Ajoutez un ID UPI et gagnez votre récompense.,💸 Super ! Récompense gagnée,Ystäväsi ensimmäinen matka on tehty! Lisää maksutiedot ja lunasta palkkio.,💸 Ka-ching! Ansaitsit juuri palkkion,Din väns första resa är klar! Lägg till betalningsuppgifter för att få din belöning.,💸 Ka-ching! Du har precis tjänat en belöning
REFERRAL_REWARD,PAYOUT_REWARD,,,,Your friend's first ride is complete! Keep the buzz going—refer more friends and earn for every new rider.,💸 Ka-ching! You Just Earned a Reward,De eerste rit van je vriend is voltooid! Blijf doorverwijzen en verdien meer.,💸 Tjing-tjing! Beloning verdiend,Die erste Fahrt deines Freundes ist abgeschlossen! Werbe mehr Freunde und verdiene.,💸 Kaching! Prämie erhalten,Le 1er trajet de votre ami est terminé ! Parrainez plus d'amis pour gagner plus.,💸 Super ! Récompense gagnée,Ystäväsi ensimmäinen matka on tehty! Kutsu lisää kavereita ja tienaa jokaisesta uudesta matkustajasta.,💸 Ka-ching! Ansaitsit juuri palkkion,Din väns första resa är klar! Värva fler vänner och tjäna pengar för varje ny passagerare.,💸 Ka-ching! Du har precis tjänat en belöning
REFERRED_BY_REWARD_ADD_VPA,PAYOUT_REWARD,,,,"Add UPI ID and earn the reward. Thanks for using Bridge, Keep supporting our drivers !",💸 Ka-ching! You Just Earned a Reward,"Voeg UPI ID toe en verdien de beloning. Bedankt voor het gebruiken van Bridge, blijf onze chauffeurs steunen!",💸 Tjing-tjing! Beloning verdiend,"Füge eine UPI-ID hinzu und erhalte die Prämie. Danke, dass du Bridge nutzt. Unterstütze weiterhin unsere Fahrer!",💸 Kaching! Prämie erhalten,"Ajoutez un ID UPI et gagnez la récompense. Merci d'utiliser Bridge, continuez à soutenir nos chauffeurs !",💸 Super ! Récompense gagnée,"Lisää maksutiedot ja lunasta palkkio. Kiitos, että käytät Lynxiä ja tuet kuljettajiamme!",💸 Ka-ching! Ansaitsit juuri palkkion,Lägg till betalningsuppgifter för att få belöningen. Tack för att du använder Lynx!,💸 Ka-ching! Du har precis tjänat en belöning
REFERRAL_BONUS_EARNED,PAYOUT_REWARD,,,,Your referral reward credited to your account. Thanks for using Bridge!!,💸 Ka-ching! You Just Earned a Reward,Je doorverwijsbeloning is bijgeschreven. Bedankt voor het gebruiken van Bridge!!,💸 Tjing-tjing! Beloning verdiend,"Deine Empfehlungsprämie wurde gutgeschrieben. Danke, dass du Bridge nutzt!!",💸 Kaching! Prämie erhalten,Votre récompense de parrainage a été créditée. Merci d'utiliser Bridge !!,💸 Super ! Récompense gagnée,"Suosittelupalkkio on maksettu tilillesi. Kiitos, että käytät Lynxiä!",💸 Ka-ching! Ansaitsit juuri palkkion,Din värvningsbelöning har satts in på ditt konto. Tack för att du använder Lynx!,💸 Ka-ching! Du har precis tjänat en belöning
REFERRED_BY_REWARD,PAYOUT_REWARD,,,,"Thanks for using Bridge, Keep supporting our drivers !",💸 Ka-ching! You Just Earned a Reward,"Bedankt voor het gebruiken van Bridge, blijf onze chauffeurs steunen!",💸 Tjing-tjing! Beloning verdiend,"Danke, dass du Bridge nutzt. Unterstütze weiterhin unsere Fahrer!",💸 Kaching! Prämie erhalten,"Merci d'utiliser Bridge, continuez à soutenir nos chauffeurs !",💸 Super ! Récompense gagnée,"Kiitos, että käytät Lynxiä ja tuet kuljettajiamme!",💸 Ka-ching! Ansaitsit juuri palkkion,Tack för att du använder Lynx och stöttar våra förare!,💸 Ka-ching! Du har precis tjänat en belöning
ACCOUNT_DELETED,ACCOUNT_DELETED,,,,Your account has been deleted successfully.,Account Deleted!,Je account is succesvol verwijderd.,Account Verwijderd!,Dein Konto wurde erfolgreich gelöscht.,Konto gelöscht!,Votre compte a été supprimé avec succès.,Compte supprimé !,Tilisi on poistettu onnistuneesti.,Tili poistettu!,Ditt konto har raderats framgångsrikt.,Konto raderat!
ACCOUNT_DELETED,ACCOUNT_DELETED,,Delivery_OneWayOnDemandDynamicOffer,,Your account has been deleted successfully.,Account Deleted!,Je account is succesvol verwijderd.,Account Verwijderd!,Dein Konto wurde erfolgreich gelöscht.,Konto gelöscht!,Votre compte a été supprimé avec succès.,Compte supprimé !,Tilisi on poistettu onnistuneesti.,Tili poistettu!,Ditt konto har raderats framgångsrikt.,Konto raderat!
TRIP_FINISHED,TRIP_FINISHED,,,,Hope you enjoyed your trip with {#driverName#}. Total Fare {#totalFare#}. Please ensure you've collected all your belongings before leaving the vehicle!,Trip finished!,Hopelijk heb je genoten van je rit met {#driverName#}. Totaalbedrag {#totalFare#}. Vergeet je spullen niet!,Rit voltooid!,"Wir hoffen, du hattest eine gute Fahrt mit {#driverName#}. Gesamtpreis {#totalFare#}. Vergiss deine Sachen nicht!",Fahrt beendet!,Nous espérons que votre trajet avec {#driverName#} vous a plu. Prix total {#totalFare#}. N'oubliez pas vos affaires !,Trajet terminé !,Toivottavasti viihdyit kuljettajan {#driverName#} kyydissä. Hinta yhteensä {#totalFare#}. Muistithan ottaa kaikki tavarasi mukaan!,Matka päättynyt!,Hoppas du hade en trevlig resa med {#driverName#}. Totalt pris {#totalFare#}. Kontrollera att du fått med dig allt!,Resa avslutad!